Index (10x),Index (HTO),Lane,Loaded Cells,BCL PIN (10x),BCL PIN (HTO)
B10,D704,*,13500,"0106,0124",0106
B8,D702,*,18000,"0106,0124",0106
B9,D703,*,18000,"0106,0124",0106
C10,D708,*,18000,"0106,0124",0106
C11,D709,*,18000,"0106,0124",0106
C12,D710,*,18000,"0106,0124",0106
C2,D701,*,11557,"0106,0123",0106
C3,D702,*,17853,"0106,0123",0106
C4,D703,*,12608,"0106,0123",0106
C5,D704,*,17000,"0106,0123",0106
C6,D705,*,18000,"0106,0123",0106
C7,D705,*,17745,"0106,0124",0106
C8,D706,*,18000,"0106,0124",0106
C9,D707,*,18000,"0106,0124",0106
D2,D706,*,13500,"0106,0123",0106
D3,D707,*,18000,"0106,0123",0106
D4,D708,*,18000,"0106,0123",0106
D5,D709,*,18000,"0106,0123",0106
D6,D710,*,18000,"0106,0123",0106
E12,D701,*,14324,"0088,0123",0088
